count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-473216.424399254	189505.18534747837	--	-473216.424399254	-0.008789023178960891	0.1395091055871698	-8.27513577577215	11.558182778188147	-3.25353392159639	4.5203646615069975	-15.0	15.0	67339
-519525.7820489532	221155.35904848579	--	-519525.7820489532	-0.008597947137665547	0.14356672061625902	-8.279085555682428	12.087157278246606	-3.1478219004504115	4.50350382436886	-15.0	15.0	66774
-483454.69677553367	204403.6865919374	--	-483454.69677553367	-0.008907386177030257	0.14695692488424725	-8.31331391638329	13.074476962942578	-3.2933496855106297	4.626706508870175	-15.0	15.0	67115
-493980.3610167931	197668.44488030032	--	-493980.3610167931	-0.008564029797036889	0.13769150078713305	-8.243931276586189	13.64646266618215	-3.1880166823336205	4.425870842613323	-15.0	15.0	67135
-471903.17999579664	210175.99146521694	--	-471903.17999579664	-0.00856736404752748	0.14164013202755255	-8.163886847673323	13.112907331325658	-3.1700323331211115	4.476754530860247	-15.0	15.0	67031
-467997.240912762	197354.72940407242	--	-467997.240912762	-0.008873299742895585	0.13946540062161888	-9.06383901896957	12.938059201878094	-3.285828786023356	4.533235671244577	-15.0	15.0	67085
-450253.13411137427	190367.74622571256	--	-450253.13411137427	-0.008558169723091888	0.1352613963244282	-9.421968346925334	12.50036438170841	-3.158207792297238	4.397389638238775	-15.0	14.6906780199111	66996
-505355.1772696395	215288.96357131796	--	-505355.1772696395	-0.008589734241223414	0.13684775403483154	-9.933864898893868	11.66909984953669	-3.12452329214754	4.357712668268998	-15.0	13.954863566132092	66983
-447550.1521785482	178450.97000907187	--	-447550.1521785482	-0.008874509895243845	0.13701627118657106	-9.71117527508021	11.065142420650073	-3.321684449160527	4.459976027792408	-15.0	14.902446567002862	67031
-456360.54856931855	199076.3977053525	--	-456360.54856931855	-0.008765294235087026	0.13458715920709324	-9.369529907016858	10.52857592579835	-3.1360945755731127	4.357877028449565	-15.0	14.61000346689918	66988
-490175.9967696478	222730.56679403712	--	-490175.9967696478	-0.008625249881075537	0.13540761878783747	-9.53760365458934	9.855028421350237	-3.1462564003179696	4.349547114180549	-15.0	13.94608592012274	67193
-495698.92514711776	186487.3526487269	--	-495698.92514711776	-0.009111170865139866	0.13514300913624863	-9.63949953709409	9.088742908842978	-3.32641370545807	4.480503733188113	-15.0	14.171889323516217	66778
-513492.8271881571	214145.23971163385	--	-513492.8271881571	-0.008932688722094444	0.13871518726369633	-9.251236482216076	8.682457276907597	-3.2496269209773723	4.481966438094897	-15.0	14.346585661823973	66926
-553044.3550493884	234900.4689197754	--	-553044.3550493884	-0.008479197454923974	0.1376962632625415	-9.261728075138212	9.102489921283262	-3.171253143903247	4.427081831732536	-15.0	15.0	67066
-476943.94152123446	188764.33966490155	--	-476943.94152123446	-0.008900003868483884	0.13486321371586132	-9.21475599439122	8.428323995259653	-3.4095620049605304	4.502737428604628	-15.0	15.0	66808
-432129.4692178486	194474.9861062266	--	-432129.4692178486	-0.008995193224159747	0.13283501934914818	-9.033118153942974	8.729205649183498	-3.284372271752741	4.429323066711305	-15.0	14.390003542378766	66906
-466898.71232582215	193819.7034547554	--	-466898.71232582215	-0.009007316121159459	0.1327418823699588	-8.550656739495421	8.264897756289136	-3.2254706667808897	4.376278539274814	-15.0	14.34292856772132	66901
-481089.84006768063	197122.16156304357	--	-481089.84006768063	-0.008982318412300145	0.1322642562394692	-8.483904834124127	7.629604710868111	-3.293432601114681	4.394002669039381	-15.0	14.322575120700167	66795
-569972.0472714144	256416.88775520903	--	-569972.0472714144	-0.009065295683919618	0.13350866276051782	-8.438589000863335	7.116324974217878	-3.321226021199393	4.375505559800733	-15.0	14.319727753866378	66823
-459295.7017463606	170596.04930278863	--	-459295.7017463606	-0.009112930523647004	0.13444307982799192	-8.492510838795882	6.4840662116789	-3.496184477202936	4.52484498557673	-15.0	14.378557708003976	67070
-481688.3256291381	196336.97903385965	--	-481688.3256291381	-0.008567021089550363	0.13050457483555492	-8.602633116737293	6.0068297313247	-3.1290875235304565	4.351373186766655	-15.0	14.323017366554385	66532
-506677.8841168423	212295.84190227845	--	-506677.8841168423	-0.008729529211089116	0.1312154807542104	-8.605294940051635	6.08560265391672	-3.2353309518683906	4.362747240266717	-15.0	14.327098028795863	66740
-528152.2127777099	220507.40973016428	--	-528152.2127777099	-0.008746527972114249	0.1299890195180217	-8.649535820824276	6.141266071648752	-3.2908700043599266	4.378720949724068	-15.0	14.314534587092036	66862
-501934.20142246806	200570.5336386043	--	-501934.20142246806	-0.00898255949755877	0.1328217326861848	-9.391269084096677	5.802867602727962	-3.384740810940078	4.44604559244867	-15.0	14.303378593381016	66801
-478677.49436226836	178112.69324571302	--	-478677.49436226836	-0.008696183326232712	0.1338872067000688	-10.371673864536936	6.181778345489806	-3.193381857319681	4.345909598583038	-15.0	14.284419815120925	66802
